ID,Date,Close/Last,Volume,Open,High,Low
2,09/11/2024,222.66,44587070,221.455,223.09,217.89
3,09/10/2024,220.11,51591030,218.92,221.48,216.73
4,09/09/2024,220.91,67179970,220.82,221.27,216.71
5,09/06/2024,220.82,48423010,223.95,225.24,219.77
6,09/05/2024,222.38,36615400,221.625,225.48,221.52
7,09/04/2024,220.85,43840200,221.66,221.78,217.48
8,09/03/2024,222.77,50190570,228.55,229.00,221.17
9,08/30/2024,229.00,52990770,230.19,230.40,227.48
10,08/29/2024,229.79,51906300,230.10,232.92,228.88
11,08/28/2024,226.49,38052170,227.92,229.86,225.68
12,08/27/2024,228.03,35934560,225.995,228.85,224.89
13,08/26/2024,227.18,30602210,226.76,227.28,223.8905
14,08/23/2024,226.84,38677250,225.659,228.22,224.33
15,08/22/2024,224.53,43695320,227.79,228.34,223.90
16,08/21/2024,226.40,34765480,226.52,227.98,225.05
17,08/20/2024,226.51,30299030,225.77,227.17,225.45
18,08/19/2024,225.89,40687810,225.72,225.99,223.04
19,08/16/2024,226.05,44340240,223.92,226.8271,223.6501
20,08/15/2024,224.72,46414010,224.60,225.35,222.76
21,08/14/2024,221.72,41960570,220.57,223.03,219.70
22,08/13/2024,221.27,44155330,219.01,221.89,219.01
23,08/12/2024,217.53,38028090,216.07,219.5099,215.60
24,08/09/2024,216.24,42201650,212.10,216.78,211.97
25,08/08/2024,213.31,47161150,213.11,214.20,208.83
26,08/07/2024,209.82,63516420,206.90,213.64,206.39
27,08/06/2024,207.23,69660490,205.30,209.99,201.07
28,08/05/2024,209.27,119548600,199.09,213.50,196.00
29,08/02/2024,219.86,105568600,219.15,225.60,217.71
30,08/01/2024,218.36,62501000,224.37,224.48,217.02
31,07/31/2024,222.08,50036260,221.44,223.82,220.63
32,07/30/2024,218.80,41643840,219.19,220.325,216.12
33,07/29/2024,218.24,36311780,216.96,219.30,215.75
34,07/26/2024,217.96,41601350,218.70,219.49,216.01
35,07/25/2024,217.49,51391200,218.93,220.85,214.62
36,07/24/2024,218.54,61777580,224.00,224.80,217.13
37,07/23/2024,225.01,39960260,224.365,226.94,222.68
38,07/22/2024,223.96,48201840,227.01,227.78,223.09
39,07/19/2024,224.31,49151450,224.82,226.80,223.275
40,07/18/2024,224.18,66034590,230.28,230.44,222.27
41,07/17/2024,228.88,57345880,229.45,231.4599,226.64
42,07/16/2024,234.82,43234280,235.00,236.27,232.33
43,07/15/2024,234.40,62631250,236.48,237.23,233.09
44,07/12/2024,230.54,53046530,228.92,232.64,228.68
45,07/11/2024,227.57,64710620,231.39,232.39,225.77
